"Zip Code","Population 2016","Population 2010","Population 2000","Land Area","Foreign Born Population","Median Household Income","Median Home Price","Median Resident Age","White Population","Hispanic/Latino Population","Black Population","Asian Population","American Indian Population","High School Diploma","Bachelor's Degree","Graduate Degree","Male Percent","Female Percent","Average Household Size"
"11931","34","","","0.5","0.0%","","","","","","","","","98.6%","0.0%","0.0%","50.0%","50.0%","2.0"
"11932","927","1,398","1,429","8.6","16.0%","$77,460","$1,005,355","50.7","942","201","228","9","6","92.4%","47.3%","13.3%","47.4%","52.6%","2.2"
"11933","7,491","6,844","5,857","27.7","8.3%","$67,214","$397,014","48.3","5,829","442","433","59","5","92.9%","30.0%","13.7%","51.5%","48.5%","2.7"
"11934","8,194","7,263","6,539","4.7","5.4%","$101,705","$419,545","39.4","6,065","736","234","99","3","92.8%","27.8%","15.6%","47.5%","52.5%","3.3"
"11935","3,231","3,304","3,444","10.2","10.7%","$92,039","$573,711","52.1","2,971","236","49","27","2","95.9%","43.5%","16.2%","47.8%","52.2%","2.5"
"11937","15,983","15,398","13,289","42.9","20.3%","$93,839","$860,734","50.2","9,774","4,795","433","210","24","93.0%","46.6%","22.2%","50.9%","49.1%","2.4"
"11939","924","926","777","2.2","12.3%","$77,460","$678,376","61.7","832","62","7","8","0","94.2%","41.9%","22.1%","47.3%","52.7%","2.0"
"11940","5,260","5,210","4,347","5.5","1.9%","$101,731","$453,730","43.1","4,692","330","69","48","4","97.1%","36.7%","19.9%","52.4%","47.6%","2.7"
"11941","2,082","1,986","2,275","2.5","11.0%","$108,108","$589,694","46.6","1,789","149","21","10","0","97.5%","44.3%","17.8%","49.6%","50.4%","2.6"
"11942","4,565","4,603","3,981","8.7","6.7%","$96,598","$560,060","46.3","4,042","393","64","52","10","96.6%","40.9%","20.9%","48.6%","51.4%","2.7"
"11944","4,268","4,299","3,705","4.1","15.1%","$59,465","$486,251","52.0","2,801","1,074","319","27","4","89.1%","37.3%","18.5%","43.2%","56.8%","2.2"
"11946","13,889","14,068","12,802","13.5","27.0%","$79,180","$479,591","45.0","9,494","4,119","165","117","24","90.9%","33.9%","13.8%","51.6%","48.4%","2.5"
"11947","106","416","218","0.6","0.0%","","$390,688","65.8","344","57","3","9","0","100.2%","28.6%","14.0%","26.7%","73.3%","1.4"
"11948","1,208","1,123","903","2.7","2.6%","$107,177","$596,576","49.5","979","108","21","2","0","100.7%","40.2%","30.2%","48.8%","51.2%","2.7"
"11949","15,308","14,573","11,385","34.5","4.6%","$110,099","$451,844","40.4","12,971","953","226","254","20","96.1%","37.0%","18.3%","51.5%","48.5%","3.0"
"11950","16,558","16,268","14,583","4.1","12.8%","$76,021","$259,385","35.9","10,363","3,556","1,338","330","187","86.5%","15.5%","5.0%","49.6%","50.4%","3.4"
"11951","14,159","13,680","12,794","6.7","7.8%","$66,689","$210,328","37.4","9,719","2,200","1,177","206","35","87.5%","17.5%","6.9%","47.8%","52.2%","2.9"
"11952","4,900","4,637","4,680","9.5","6.4%","$93,688","$607,120","50.0","4,129","332","56","41","1","93.7%","39.0%","17.9%","53.0%","47.0%","2.6"
"11953","13,495","13,553","12,364","10.3","10.0%","$75,249","$295,790","43.7","9,591","1,547","1,639","426","54","93.5%","29.4%","13.6%","50.5%","49.5%","2.5"
"11954","3,560","3,326","3,851","18.5","13.5%","$80,853","$937,317","52.3","2,644","537","74","30","4","94.1%","33.7%","9.8%","47.0%","53.0%","2.2"
"11955","3,341","3,285","2,652","2.9","11.9%","$64,254","$381,475","44.9","2,752","299","93","89","6","90.8%","33.8%","20.2%","41.1%","58.9%","2.1"
"11956","253","349","316","1.3","10.4%","$63,791","$671,161","57.2","325","22","1","0","1","94.5%","50.3%","21.4%","42.4%","57.6%","1.7"
"11957","727","743","662","6.5","2.6%","$76,463","$754,848","65.6","704","16","8","6","1","96.7%","37.2%","16.0%","47.7%","52.3%","2.0"
"11958","538","635","445","2.9","27.6%","$69,353","$671,383","55.1","533","74","24","1","0","89.9%","33.9%","23.1%","56.1%","43.9%","2.1"
"11959","826","939","1,015","3.8","4.3%","$91,390","$1,187,934","54.3","835","56","16","10","2","100.5%","65.1%","28.2%","46.1%","53.9%","2.2"
"11960","497","1,084","822","1.9","9.7%","$71,602","$801,021","61.5","1,007","40","3","9","1","101.1%","39.0%","20.1%","45.7%","54.3%","2.0"
"11961","13,034","12,834","12,664","12.8","7.5%","$64,281","$292,794","50.0","11,084","755","598","229","14","90.0%","22.8%","12.9%","47.3%","52.7%","2.4"
"11962","498","494","405","5.5","4.0%","$223,592","$2,219,817","49.3","444","25","8","9","0","101.5%","63.8%","20.8%","60.1%","39.9%","2.6"
"11963","6,806","6,622","6,664","13.5","19.9%","$89,891","$935,319","47.7","5,575","661","201","96","16","96.4%","57.6%","25.1%","49.4%","50.6%","2.4"
"11964","2,295","1,858","1,148","9.3","8.9%","$83,192","$813,785","47.2","1,701","93","24","9","2","100.3%","57.9%","30.2%","46.2%","53.8%","2.5"
"11965","589","534","1,080","2.8","1.4%","$122,809","$913,343","51.2","498","23","1","1","0","101.8%","66.6%","35.7%","49.4%","50.6%","2.4"
"11967","26,481","26,583","24,943","11.3","13.5%","$86,165","$279,586","35.4","19,191","4,441","1,672","677","66","85.5%","17.9%","8.0%","48.7%","51.3%","3.4"
"11968","10,855","11,593","12,032","26.7","19.5%","$85,131","$930,436","50.8","8,004","2,126","530","166","518","95.3%","49.5%","20.7%","47.4%","52.6%","2.3"
"11969","","","","","","","","","","","","","","","","","","",""
"11970","112","522","319","0.6","0.0%","","$419,871","58.6","500","12","7","1","0","99.0%","14.9%","14.9%","27.0%","73.0%","1.4"
"11971","6,417","5,818","5,575","11.1","9.0%","$94,060","$583,257","53.9","5,199","478","41","47","1","98.6%","37.9%","18.0%","53.4%","46.6%","2.4"
"11972","1,374","1,321","692","2.4","11.3%","$110,513","$618,219","40.4","1,117","160","31","6","1","94.2%","41.4%","9.9%","54.8%","45.2%","2.7"
"11973","41","","","4.4","12.2%","","","20.0","","","","","","103.4%","103.4%","103.4%","61.0%","39.0%",""
"11975","312","408","398","2.9","15.0%","$70,951","$1,838,341","55.9","342","40","12","3","4","99.6%","51.5%","25.4%","50.7%","49.3%","1.9"
"11976","2,377","1,565","1,822","12.3","20.9%","$138,576","$2,176,419","54.5","1,388","123","15","24","0","99.0%","62.2%","33.1%","45.9%","54.1%","2.5"
"11977","2,178","2,467","2,143","5.7","9.6%","$98,941","$756,402","54.6","2,141","229","31","27","3","96.0%","46.2%","24.1%","47.8%","52.2%","2.4"
"11978","3,166","3,255","3,800","12.6","17.5%","$85,555","$647,076","46.6","2,302","651","191","43","5","96.7%","50.1%","25.1%","47.9%","52.1%","2.5"
"11980","5,700","4,990","4,221","13.1","10.4%","$95,013","$336,302","39.1","3,924","572","369","90","6","91.4%","29.6%","15.1%","57.0%","43.0%","2.7"
